15047.75,QQQ GEX 363,#FFAB12,#000000
15089.25,QQQ GEX 364,#FFAB13,#000000
15130.5,QQQ GEX 365,#FFAB14,#000000
15172,QQQ GEX 366,#FFAB15,#000000
15213.5,QQQ GEX 367,#FFAB16,#000000
15255,QQQ GEX 368,#FFAB17,#000000
15296.5,QQQ GEX 369,#FFAB18,#000000
15338,QQQ GEX 370,#FFAB19,#000000
15379.25,QQQ GEX 371,#FFAB20,#000000
15420.75,QQQ GEX 372,#FFAB21,#000000
15462.25,QQQ GEX 373,#FFAB22,#000000
15503.75,QQQ GEX 374,#FFAB23,#000000
15545.25,QQQ GEX 375,#FFAB24,#000000
15586.5,QQQ GEX 376,#FFAB25,#000000
15628,QQQ GEX 377,#FFAB26,#000000
15669.5,QQQ GEX 378,#FFAB27,#000000
15711,QQQ GEX 379,#FFAB28,#000000
15752.5,QQQ GEX 380,#FFAB29,#000000
15793.75,QQQ GEX 381,#FFAB30,#000000
15835.25,QQQ GEX 382,#FFAB31,#000000
15876.75,QQQ GEX 383,#FFAB32,#000000
15096,QQQ DP 363,#B9E6FF,#000000
15137.5,QQQ DP 364,#B9E6FF,#000000
15179.25,QQQ DP 365,#B9E6FF,#000000
15220.75,QQQ DP 366,#B9E6FF,#000000
15262.25,QQQ DP 367,#B9E6FF,#000000
15304,QQQ DP 368,#B9E6FF,#000000
15345.5,QQQ DP 369,#B9E6FF,#000000
15387,QQQ DP 370,#B9E6FF,#000000
15428.75,QQQ DP 371,#B9E6FF,#000000
15470.25,QQQ DP 372,#B9E6FF,#000000
15511.75,QQQ DP 373,#B9E6FF,#000000
15553.5,QQQ DP 374,#B9E6FF,#000000
15595,QQQ DP 375,#B9E6FF,#000000
15636.5,QQQ DP 376,#B9E6FF,#000000
15678.25,QQQ DP 377,#B9E6FF,#000000
15719.75,QQQ DP 378,#B9E6FF,#000000
15761.25,QQQ DP 379,#B9E6FF,#000000
15803,QQQ DP 380,#B9E6FF,#000000
15844.5,QQQ DP 381,#B9E6FF,#000000
15886,QQQ DP 382,#B9E6FF,#000000
15927.75,QQQ DP 383,#B9E6FF,#000000
